lemma,A1,A2,A3,A4,A1&A2,State,Polarity,Effect
заражение,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Ins),,,,"(A1, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(author, A2, neg, 1)']","(A1, -, 1)"
заразить,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Ins),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 0.7)', '(A2, A1, neg, 1)', '(A2, A3, neg, 1)', '(author, A1, neg, 1)', '(author, A3, neg, 1)']","['(A2, -, 1)', '(A3, +, 1)']"
заразиться,(NOUN Case=Nom),(NOUN Case=Ins),,,,"(A1, neg, 1)","['(A1, A2, neg, 1)', '(author, A2, neg, 1)']","['(A1, -, 1)', '(A2, +, 1)']"
зарезать,(NOUN Case=Nom),(NOUN Case=Acc),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)']","(A2, -, 1)"
заслуга,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Ins),(NOUN Case=Loc),,,"(A2, pos, 1)","['(A1, A2, pos, 1)', '(A1, A3, pos, 0.7)', '(A2, A1, pos, 1)', '(A2, A3, pos, 0.7)']","['(A2, +, 1)', '(A3, +, 1)']"
заслуживать,(NOUN Case=Nom),(NOUN Case=Gen) (NOUN Case=Acc),(NOUN Case=Acc),,,"(A1, pos, 0.7)","['(A1, A2, pos, 0.7)', '(author, A1, pos, 0.7)', '(author, A2, pos, 0.7)', '(author, A3, pos, 0.7)']","(A1, pos, 0.7)"
заслужить,(NOUN Case=Nom),(NOUN Case=Gen) (NOUN Case=Acc),(NOUN Case=Acc),,,"(A1, pos, 0.7)","['(A1, A2, pos, 0.7)', '(author, A1, pos, 0.7)', '(author, A2, pos, 0.7)', '(author, A3, pos, 0.7)']","(A1, pos, 0.7)"
застесняться,(NOUN Case=Nom) ,(NOUN Case=Acc) (NOUN Case=Gen) (Что+Clause) (VERB VerbForm=Inf) ,,,,"['(A1, neg, 1) ', '(A2, neg, 1) ']","['(A1, A2, neg, 1) ', '(A2, A1, neg, 0.7) ']","['(A1, -, 1) ', '(A2, -, 1) ']"
застреливаться,(NOUN Case=Nom),,,,,"(A1, neg, 1)",,"(A1, -, 1)"
застрелить,(NOUN Case=Nom),(NOUN Case=Acc),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, neg, 0.7)', '(author, A2, pos, 0.7)']","(A2, -, 1)"
застрелиться,(NOUN Case=Nom),,,,,"(A1, neg, 1)",,"(A1, -, 1)"
затерроризировать,(NOUN Case=Nom),(NOUN Case=Acc),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, neg, 1)', '(author, A2, pos, 0.7)']","(A2, -, 1)"
затопить,(NOUN Case=Nom),(NOUN Case=Acc),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(author, A1, neg, 0.7)', '(author, A2, pos, 0.7)']","(A2, -, 1)"
затопление,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) (NOUN Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes/ADJ),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(author, A1, neg, 0.7)', '(author, A2, pos, 0.7)']","(A2, -, 1)"
затоплять,(NOUN Case=Nom),(NOUN Case=Acc),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(author, A1, neg, 0.7)', '(author, A2, pos, 0.7)']","(A2, -, 1)"
затруднение,(NOUN Case=Gen),,,,,"(A1, neg, 1)",,"(A1, -, 1)"
затруднительность,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Gen),,,,"(A2, neg, 1)","(A2, A1, neg, 1)","(A2, -, 1)"
затруднить,(NOUN Case=Nom),(NOUN Case=Dat),(NOUN Case=Acc),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)', '(A2, A1, neg, 1)', '(A2, A3, pos, 1)']","['(A2, -, 1)', '(A3, -, 1)']"
затрудниться,(NOUN Case=Nom),(VERB VerbForm=Inf)(NOUN Case=Ins),,,,"(A1, neg, 1)","(A1, A2, neg, 1)","(A2, -, 1)"
затруднять,(NOUN Case=Nom),(NOUN Case=Dat),(NOUN Case=Acc),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)', '(A2, A1, neg, 1)', '(A2, A3, pos, 1)']","['(A2, -, 1)', '(A3, -, 1)']"
затрудняться,(NOUN Case=Nom),(VERB VerbForm=Inf) )(NOUN Case=Ins),,,,"(A1, neg, 1)","(A1, A2, neg, 1)","(A2, -, 1)"
захваливание,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) (NOUN Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Acc),,,"(A2, pos, 1)","['(A1, A2, pos, 1)', '(A1, A3, pos, 1)', '(A2, A1, pos, 1)', '(A2, A3, pos, 1)', '(author, A1, neg, 0.7)', '(author, A2, neg, 0.7)']","(A2, +, 1)"
захваливать,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Acc),,,"(A2, pos, 1)","['(A1, A2, pos, 1)', '(A1, A3, pos, 1)', '(A2, A1, pos, 1)', '(A2, A3, pos, 1)', '(author, A1, neg, 0.7)', '(author, A2, neg, 0.7)']","(A2, +, 1)"
захвалить,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Acc),,,"(A2, pos, 1)","['(A1, A2, pos, 1)', '(A1, A3, pos, 1)', '(A2, A1, pos, 1)', '(A2, A3, pos, 1)', '(author, A1, neg, 0.7)', '(author, A2, neg, 0.7)']","(A2, +, 1)"
захват,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) (NOUN Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes/ADJ),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, neg, 1)', '(author, A2, pos, 0.7)']","(A2, -, 1)"
захватчик,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),,,,,,"['(A0, A1, neg, 1)', '(author, A0, neg, 1)', '(author, A1, pos, 0.7)']","(A1, -, 1)"
захоранивать,(NOUN Case=Nom) ,(NOUN Case=Acc) ,,,,"['(A1, neg, 0.7) ', '(A2, neg, 1) ']","(A1, A2, pos, 0.7) ","['(A1, -, 0.7) ', '(A2, -, 1) ']"
захоронение,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) ,(NOUN Case=Ins) ,,,,"['(A1, neg, 1) ', '(A2, neg, 0.7) ']","(A2, A1, pos, 0.7) ","['(A1, -, 1) ', '(A2, -, 0.7) ']"
захоронить,(NOUN Case=Nom) ,(NOUN Case=Acc) ,,,,"['(A1, neg, 0.7) ', '(A2, neg, 1) ']","(A1, A2, pos, 0.7) ","['(A1, -, 0.7) ', '(A2, -, 1) ']"
защитник,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Gen),,,,"['(A1, pos, 1)', '(A2, neg, 1)']","['(A0, A1, pos, 1)', '(A0, A2, neg, 1)', '(A1, A0, pos, 1)', '(A1, A2, neg, 1)', '(author, A0, pos, 0.7)', '(author, A1, pos, 0.7)', '(author, A2, neg, 0.7)']","['(A1, +, 1)', '(A2, -, 1)']"
злить,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Ins),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(A2, A3, neg, 1)', '(A1, A3, pos, 0.7)']","(A2, -, 1)"
злиться,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Acc) (NOUN Case=Gen),,,"(A1, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)', '(A2, A1, neg, 0.7)', '(A2, A3, pos, 0.7)']","['(A1, -, 1)', '(A2, -, 1)']"
злоба,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Acc),(NOUN Case=Acc) (NOUN Case=Gen),,,"(A1, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)', '(A2, A1, neg, 0.7)', '(A2, A3, pos, 0.7)']","['(A1, -, 1)', '(A2, -, 1)']"
злость,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Acc),(NOUN Case=Acc) (NOUN Case=Gen),,,"(A1, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)', '(A2, A1, neg, 0.7)', '(A2, A3, pos, 0.7)']","['(A1, -, 1)', '(A2, -, 1)']"
злоупотребить,(NOUN Case=Nom),(NOUN Case=Acc),,,,"(A1, pos, 1)","['(A1, A2, pos, 0.7)', '(author, A1, neg, 1)', '(author, A2, pos, 0.7)']","(A2, -, 1)"
злоупотребление,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Ins),,,,"(A1, pos, 0.7)","['(A1, A2, pos, 0.7)', '(author, A1, neg, 1)', '(author, A2, pos, 0.7)']","(A2, -, 1)"
злоупотреблять,(NOUN Case=Nom),(NOUN Case=Acc),,,,"(A1, pos, 1)","['(A1, A2, pos, 0.7)', '(author, A1, neg, 1)', '(author, A2, pos, 0.7)']","(A2, -, 1)"
игнорировать,(NOUN Case=Nom),(NOUN Case=Acc) (Что+Clause),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, neg, 0.7)', '(author, A2, pos, 0.7)']","(A2, -, 1)"
избивать,(NOUN Case=Nom),(NOUN Case=Acc),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, neg, 1)', '(author, A2, pos, 0.7)']","(A2, -, 1)"
избиение,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) (NOUN Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes/ADJ),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, neg, 1)', '(author, A2, pos, 0.7)']","(A2, -, 1)"
избить,(NOUN Case=Nom),(NOUN Case=Acc),,,,"['(A1, pos, 0.7)', '(A2, neg, 1)']","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)']","(A2, -, 1) "
извериться,(NOUN Case=Nom) ,(NOUN Case=Loc) (Что+Clause),,,,"(A1, neg, 1)","(A1, A2, neg, 0,7)","['(A1, -, 1)', '(A2, -, 1)']"
извинение,(NOUN Case=Gen) (PRON Poss=Yes) (NOUN Case=Ins),(NOUN Case=Dat),(NOUN Case=Acc),,,"(A2, pos, 1)","['(A1, A2, pos, 1)', '(A1, A3, pos, 1)', '(A2, A1, pos, 0.7)', '(author, A1, pos, 0.7)', '(author, A3, pos, 0.7)']","(A2, +, 1)"
извинить,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Acc),,,"(A2, pos, 1)","['(A1, A2, pos, 1)', '(A1, A3, pos, 1)', '(A2, A1, pos, 0.7)', '(author, A1, pos, 0.7)', '(author, A3, pos, 0.7)']","(A2, +, 1)"
извинять,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Acc),,,"(A2, pos, 1)","['(A1, A2, pos, 1)', '(A1, A3, pos, 1)', '(A2, A1, pos, 0.7)', '(author, A1, pos, 0.7)', '(author, A3, pos, 0.7)']","(A2, +, 1)"
изгнание,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) (NOUN Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Gen),,,"['(A1, pos, 1)', '(A2, neg, 1)']","['(A1, A2, neg, 1)', '(A1, A3, pos, 1)', '(A2, A1, neg, 1)', '(A2, A3, pos, 1)']","['(A1, +, 1)', '(A2, -, 1)']"
изгнать,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Gen),,,"['(A1, pos, 1)', '(A2, neg, 1)']","['(A1, A2, neg, 1)', '(A1, A3, pos, 1)', '(A2, A1, neg, 1)', '(A2, A3, pos, 1)']","['(A1, +, 1)', '(A2, -, 1)']"
изголодаться,(NOUN Case=Nom) ,(NOUN Case=Gen) ,,,,"(A1, neg, 1) ","['(A1, A2, neg, 1) ', '(author, A1, pos, 0.7) ']","(A1, -, 1) "
изгонять,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Gen),,,"['(A1, pos, 1)', '(A2, neg, 1)']","['(A1, A2, neg, 1)', '(A1, A3, pos, 1)', '(A2, A1, neg, 1)', '(A2, A3, pos, 1)']","['(A1, +, 1)', '(A2, -, 1)']"
издевательство,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Ins),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, neg, 0.7)', '(author, A2, pos, 0.7)']","(A2, -, 1)"
издеваться,(NOUN Case=Nom),(NOUN Case=Ins),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, neg, 0.7)', '(author, A2, pos, 0.7)']","(A2, -, 1)"
измена,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) ,(NOUN Case=Dat) (NOUN по отношению Case=Dat) ,,,,"(A2, neg, 1) ","['(A1, A2, neg, 1) ', '(A2, A1, neg, 1) ', '(author, A1, neg, 1) ', '(author, A2, pos, 0.7) ']","(A2, -, 1) "
изменить,(NOUN Case=Nom) ,(NOUN Case=Dat) ,,,,"(A2, neg, 1) ","['(A1, A2, neg, 1) ', '(A2, A1, neg, 1) ', '(author, A1, neg, 1) ', '(author, A2, pos, 0.7) ']","(A2, -, 1) "
изменять,(NOUN Case=Nom) ,(NOUN Case=Dat) ,,,,"(A2, neg, 1) ","['(A1, A2, neg, 1) ', '(A2, A1, neg, 1) ', '(author, A1, neg, 1) ', '(author, A2, pos, 0.7) ']","(A2, -, 1) "
измучить,(NOUN Case=Nom),(NOUN Case=Acc),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, neg, 1)', '(author, A2, pos, 0.7)']","(A2, -, 1)"
измучиться,(NOUN Case=Nom),(NOUN Case=Ins) (NOUN Case=Gen) (NOUN Case=Gen) (NOUN Case=Ins),,,,"(A1, neg, 1)","['(A1, A2, neg, 1)', '(author, A1, pos, 0.7)', '(author, A2, neg, 1)']",
изнасилование,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) (NOUN Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes/ADJ) ,,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, neg, 1)', '(author, A2, pos, 1)']","(A2, -, 1)"
изнасиловать,(NOUN Case=Nom),(NOUN Case=Acc),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, neg, 1)', '(author, A2, pos, 0.7)']","(A2, -, 1)"
изнашивание,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),,,,,"(A1, neg, 1)","(author, A1, neg, 0.7)","(A1, -, 1)"
изнашивать,(NOUN Case=Nom),(NOUN Case=Acc),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(author, A1, neg, 0.7)', '(author, A2, neg, 0.7)']","(A2, -, 1)"
изнашиваться,(NOUN Case=Nom),,,,,"(A1, neg, 1)","(author, A1, neg, 0.7)","(A1, -, 1)"
изничтожать,(NOUN Case=Nom) ,(NOUN Case=Acc) ,,,,"['(A1, pos, 0.7) ', '(A2, neg, 1) ']","['(A1, A2, neg, 1) ', '(A2, A1, neg, 1) ']","(A2, -, 1)  "
изничтожить,(NOUN Case=Nom) ,(NOUN Case=Acc) ,,,,"['(A1, pos, 0.7) ', '(A2, neg, 1) ']","['(A1, A2, neg, 1) ', '(A2, A1, neg, 1) ']","(A2, -, 1)  "
износ,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),,,,,"(A1, neg, 1)","(author, A1, neg, 0.7)","(A1, -, 1)"
износить,(NOUN Case=Nom),(NOUN Case=Acc),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(author, A1, neg, 0.7)', '(author, A2, neg, 0.7)']","(A2, -, 1)"
износиться,(NOUN Case=Nom),,,,,"(A1, neg, 1)","(author, A1, neg, 0.7)","(A1, -, 1)"
изобличать,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Loc),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, pos, 0.7)', '(author, A2, neg, 1)', '(author, A3, neg, 1)']","['(A2, -, 1)', '(A3, -, 1)']"
изобличение,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) (NOUN Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Loc),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, pos, 0.7)', '(author, A2, neg, 1)', '(author, A3, neg, 1)']","['(A2, -, 1)', '(A3, -, 1)']"
изобличить,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Loc),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, pos, 0.7)', '(author, A2, neg, 1)', '(author, A3, neg, 1)']","['(A2, -, 1)', '(A3, -, 1)']"
изолгаться,(NOUN Case=Nom),,,,,"(A1, neg, 1)","(author, A1, neg, 1)","(A1, -, 1)"
изолирование,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) (NOUN Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Gen),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, pos, 0.7)', '(A2, A1, neg, 1)', '(A2, A3, pos, 0.7)']","(A2, -, 1)"
изолировать,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Gen),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, pos, 0.7)', '(A2, A1, neg, 1)', '(A2, A3, pos, 0.7)']","(A2, -, 1)"
изоляция,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Gen),,,,"(A1, neg, 1)","(A1, A2, pos, 0.7)","(A1, -, 1)"
изранить,(NOUN Case=Nom) ,(NOUN Case=Acc) ,,,,"(A2, neg, 1) ","['(A1, A2, neg, 1) ', '(A2, A1, neg, 1) ']","(A2, -, 1) "
изругать,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Acc),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)', '(A2, A1, neg, 1)']","['(A2, -, 1)', '(A3, -, 1)']"
интервенция,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Acc),,,,,"['(A1, A2, neg, 1)', '(author, A1, neg, 1)', '(author, A2, pos, 0.7)']","(A2, -, 1)"
интерес,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Dat) (NOUN Case=Loc),,,,"['(A1, pos, 1)', '(A2, pos, 0.7)']","['(A1, A2, pos, 1)', '(author, A1, pos, 0.7)', '(A2, A1, pos, 0.7)']","(A2, +, 0.7)"
интересоваться,(NOUN Case=Nom),(NOUN Case=Ins) (IndirQuestionClause),,,,"['(A1, pos, 1)', '(A2, pos, 0.7)']","['(A1, A2, pos, 1)', '(A2, A1, pos, 0.7)']","(A2, +, 0.7)"
интоксикация,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Ins),,,,"(A1, neg, 1)","(A1, A2, neg, 1)","(A1, -, 1)"
инфаркт,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) (NOUN Case=Gen),,,,,"(A1, neg, 1)",,"(A1, -, 1)"
искажать,(NOUN Case=Nom),(NOUN Case=Acc),,,,,"['(A1, A2, neg, 1)', '(author, A1, neg, 0.7)', '(author, A2, pos, 0.7)']","(A2, -, 1)"
искажаться,(NOUN Case=Nom),,,,,,"(author, A1, pos, 0.7)","(A1, -, 1)"
искажение,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) (NOUN Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes/ADJ),,,,,"['(A1, A2, neg, 1)', '(author, A1, neg, 0.7)', '(author, A2, pos, 0.7)']","(A2, -, 1)"
исказить,(NOUN Case=Nom),(NOUN Case=Acc),,,,,"['(A1, A2, neg, 1)', '(author, A1, neg, 0.7)', '(author, A2, pos, 0.7)']","(A2, -, 1)"
исказиться,(NOUN Case=Nom),,,,,,"(author, A1, pos, 0.7)","(A1, -, 1)"
испортить,(NOUN Case=Nom),(NOUN Case=Acc),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 0.7)', '(author, A1, neg, 1)', '(author, A2, neg, 1)']","(A2, -, 1)"
испортиться,(NOUN Case=Nom),,,,,,"(author, A1, neg, 1)","(A1, -, 1)"
исправить,(NOUN Case=Nom),(NOUN Case=Acc),,,,"(A1, pos, 1)","['(A1, A2, neg, 1)', '(author, A1, pos, 1)', '(author, A2, neg, 1)']","(A2, -, 1)"
исправляться,(NOUN Case=Nom),,,,,"(A1, pos, 1)","(author, A1, pos, 0.7)","(A1, +, 1)"
испуг,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) ,(NOUN Case=Gen) (NOUN Case=Gen) ,(NOUN Case=Acc) ,,,"(A1, neg, 1) ","['(A1, A2, neg, 1) ', '(A2, A1, neg, 0.7) ', '(A1, A3, pos, 1) ']",
испугаться,(NOUN Case=Nom) ,(NOUN Case=Gen) (NOUN Case=Gen) (NOUN Case=Gen) (Что+Clause) (VERB VerbForm=Inf)  ,(NOUN Case=Acc) ,,,"(A1, neg, 1) ","['(A1, A2, neg, 1) ', '(A2, A1, neg, 0.7) ', '(A1, A3, pos, 1) ']",
истребить,(NOUN Case=Nom),(NOUN Case=Acc),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, neg, 0.7)']","(A2, -, 1)"
истребление,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) (NOUN Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes/ADJ),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, neg, 0.7)']","(A2, -, 1)"
истреблять,(NOUN Case=Nom),(NOUN Case=Acc),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, neg, 0.7)']","(A2, -, 1)"
казнить,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Acc),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)', '(A2, A1, neg, 1)', '(author, A3, neg, 0.7)']","(A2, -, 1)"
казнь,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Acc),,,,"(A1, neg, 1)","(author, A2, neg, 0.7)","(A1, -, 1)"
карать,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Acc),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, pos, 0.7)', '(author, A2, neg, 0.7)', '(author, A3, neg, 0.7)']","(A2, -, 1)"
коллапс,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),,,,,"(A1, neg, 1)",,"(A1, -, 1)"
компромисс,"['(NOUN Case=Gen) (PRON Poss=Yes/ADJ)', 'A2: (NOUN Case=Ins и Case=Ins) (NOUN Case=Gen и NOUN Case=Gen) ']",(NOUN Case=Ins),,,,"['(A1, pos, 0.7)', '(A2, pos, 0.7)']","['(A1, A2, pos, 0.7)', '(A2, A1, pos, 0.7)']","['(A1, +, 1)', '(A2, +, 1)']"
конфликт,"['(NOUN Case=Gen) (PRON Poss=Yes/ADJ)', 'A2: (NOUN между Case=Ins и Case=Ins) (N и N)']",(N + Case=Ins),(NOUN Case=Acc),,,"['(A1, neg, 1)', '(A2, neg, 1)']","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(A1, A3, pos, 1)', '(A2, A3, pos, 1)']","['(A1, -, 1)', '(A2, -, 1)']"
красть,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Gen),,,"['(A1, pos, 1)', '(A3, neg, 1)']","['(A1, A2, pos, 1)', '(A1, A3, neg, 1)', '(A3, A1, neg, 1)', '(A3, A2, pos, 1)', '(author, A1, neg, 0.7)', '(author, A2, pos, 0.7)', '(author, A3, pos, 0.7)']","['(A1, +, 1)', '(A3, -, 1)']"
крах,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) ,,,,,"(A1, neg, 1) ","(author, A1, neg, 0.7) ","(A1, -, 1) "
критика,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) (NOUN Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes/ADJ) (NOUN Case=Gen),(NOUN Case=Acc) ,,,"(A2, neg, 1) ","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)', '(A2, A1, neg, 0.7)', '(A2, A3, pos, 0.7)']","['(A2, -, 1)', '(A3, -, 1)']"
критиковать,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Acc) (Что+Clause),,,"(A2, neg,  0.7)","['(A1, A2, neg, 1)', '(A2, A1, neg, 0.7)', '(A1, A3, neg, 1)', '(A2, A3, pos, 0.7)']","['(A2, -, 1)', '(A3, -, 1)']"
крушение,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),,,,,"(A1, neg, 1)",,"(A1, -, 1)"
крушить,(NOUN Case=Nom),(NOUN Case=Acc),,,,,"['(A1, A2, neg, 1)', '(author, A1, neg, 1)', '(author, A2, pos, 0.7)']","(A2, -, 1)"
лгать,(NOUN Case=Nom),(NOUN Case=Dat),(N Case=Loc) (NOUN Case=Gen),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)', '(A2, A1, neg, 0.7)', '(author, A1, neg, 1)', '(author, A2, pos, 0.7)']","['(A2, -, 1)', '(A3, -, 1)']"
лениться,(NOUN Case=Nom),(VERB VerbForm=Inf),,,,,"['(A1, A2, neg, 1)', '(author, A1, neg, 1)']","(A2, -, 1)"
лидирование,(NOUN Case=Gen) (PRON Poss=Yes/ADJ)	,(NOUN Case=Loc),,,,"(A1, pos, 1)","(A1, A2, pos, 0.7)","(A1, +, 1)"
лидировать,(NOUN Case=Nom)	,(NOUN Case=Loc),,,,"(A1, pos, 1)","(A1, A2, pos, 0.7)","(A1, +, 1)"
ликвидация,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) (NOUN Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Acc),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(A1, A3, neg, 1)']","(A2, -, 1)"
лишать,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Gen),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, pos, 0.7)', '(A2, A1, neg, 0.7)', '(A2, A3, pos, 1)']","(A2, -, 1)"
лишаться,(NOUN Case=Nom),(NOUN Case=Gen),(NOUN Case=Gen),,,"(A1, neg, 1)","['(A1, A2, pos, 1)', '(A1, A3, neg, 1)', '(author, A1, neg, 0.7)', '(author, A2, pos, 0.7)', '(author, A3, neg, 0.7)']","(A1, -, 1)"
лишение,(NOUN Case=Gen),(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Gen),,,"(A1, neg, 1)","['(A1, A2, pos, 1)', '(A1, A3, neg, 1)', '(author, A1, neg, 0.7)', '(author, A2, pos, 0.7)', '(author, A3, neg, 0.7)']","(A1, -, 1)"
